hip,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,x,y
15627,5.27,50.30671225,21.14714057,7.06,21.68,-22.41,3.3537808166666663,1991.25,0.7703727306478905,0.2718262566648017
15643,5.5,50.35010618,-23.63508924,7.75,-24.17,-18.93,3.356673745333333,1991.25,1.4846681370747783,-0.2584450650809908
15648,4.96,50.36086309,43.32965174,21.0,-60.43,-0.38,3.357390872666667,1991.25,0.4904897434770792,0.3469412109326262
15655,6.4,50.38927921,-47.77662913,7.19,7.04,-13.03,3.3592852806666667,1991.25,1.802436018132186,-1.0790172999536618
15669,5.94,50.46821583,49.07105892,21.86,180.91,-63.45,3.3645477219999997,1991.25,0.4243502370700475,0.356316611775435
15696,5.55,50.54954371,27.60757659,3.35,4.42,-9.88,3.369969580666667,1991.25,0.6834572928297359,0.29815022877450237
15700,6.36,50.5678437,-25.58780402,7.25,5.11,0.66,3.37118958,1991.25,1.5134988673211158,-0.30760820131970934
15737,5.1,50.68863399,20.7421051,10.23,-49.22,-14.88,3.379242266,1991.25,0.7740642121079366,0.2648905134041142
15770,5.32,50.80490169,49.2133301,5.22,20.7,-24.96,3.386993446,1991.25,0.4224036308313162,0.35405229422023826
15776,6.2,50.8237481,-7.79356443,27.09,2.11,-219.54,3.3882498733333337,1991.25,1.2048824713103015,0.013852954518778797
15800,6.47,50.90128167,0.91031067,8.83,-5.1,-92.18,3.393418778,1991.25,1.0630933948591386,0.11464799145714226
15807,6.37,50.91247448,4.88211155,2.92,-6.83,-2.56,3.3941649653333332,1991.25,1.001432356684468,0.15223589841016016
15840,6.14,51.00948316,-69.62465075,5.48,22.08,18.35,3.4006322106666667,1991.25,1.3999836422336327,-2.268006941952225
15850,6.03,51.04214254,12.62964221,7.06,25.97,-21.32,3.4028095026666665,1991.25,0.8855500606368503,0.21129035844539387
15861,5.5,51.07693671,24.72418789,14.18,15.72,-51.42,3.4051291139999997,1991.25,0.7190599151523924,0.27954855429175046
15863,1.79,51.08061889,49.86124281,5.51,24.11,-26.01,3.4053745926666665,1991.25,0.4148417787887866,0.3530582055336783
15870,6.07,51.10881233,20.80351283,10.76,2.55,-9.84,3.4072541553333333,1991.25,0.7711769481383495,0.2598822460378101
15876,5.78,51.12366306,33.53601771,6.19,31.87,-22.99,3.408244204,1991.25,0.6066216030668464,0.31364646686495257
15884,6.5,51.15087344,-51.06270539,7.49,-7.37,19.71,3.410058229333333,1991.25,1.784920357592429,-1.239438451202319
15890,5.13,51.16900549,64.58599618,2.61,-3.24,0.13,3.4112670326666668,1991.25,0.2555900060229417,0.36681140949330254
15900,3.61,51.20349011,9.02906504,15.42,-74.25,-80.31,3.413566007333333,1991.25,0.9368068416230589,0.18250378899075625
15968,5.96,51.40105611,-69.33659399,25.45,-0.41,64.81,3.426737074,1991.25,1.4057817459743274,-2.246315439357262
15987,6.39,51.4825644,-35.92087386,10.01,36.34,-4.74,3.43217096,1991.25,1.6529917998809303,-0.6142138807533548
15988,6.09,51.48900306,49.1208226,5.41,22.75,-27.12,3.4326002040000003,1991.25,0.42270973237930587,0.3488711461394827
16015,6.33,51.54903801,-41.63700538,7.39,19.61,27.01,3.436602534,1991.25,1.7205800330098058,-0.8210678776332148
16029,5.93,51.59383221,-27.3176091,7.52,7.67,53.45,3.439588814,1991.25,1.5195045735926944,-0.36564169642723243
16042,6.47,51.64733938,28.71534096,19.91,41.35,-104.29,3.4431559586666665,1991.25,0.6653255296014243,0.2902321905921348
16083,3.73,51.79217049,9.7327724,14.68,53.61,-38.12,3.4528113659999997,1991.25,0.9220103638341214,0.17947788623702496
16095,6.29,51.82779564,12.73530724,9.58,11.44,-7.54,3.455186376,1991.25,0.8787032152672085,0.20108046314872952
16112,5.71,51.88902397,-35.68133899,7.02,76.73,6.38,3.4592682646666666,1991.25,1.6388611345177304,-0.6108525736072434
16142,5.74,52.00395041,-11.28648689,9.58,-1.48,-46.39,3.4669300273333334,1991.25,1.2459689746280884,-0.05526409258763421
16147,4.99,52.01270885,49.06293148,5.72,21.94,-26.83,3.4675139233333336,1991.25,0.4227541700686489,0.34492865655232774
16156,6.49,52.04791177,-35.85341812,9.01,35.67,-3.29,3.4698607846666665,1991.25,1.6369823225222944,-0.6182357050774793
16168,5.72,52.08616659,33.80769703,9.51,28.13,-57.43,3.472411106,1991.25,0.6005673228860025,0.30473199222618913
16177,6.49,52.0981839,60.2557263,3.8,23.1,-22.31,3.47321226,1991.25,0.30092058700166857,0.35942461630532463
16181,6.03,52.11069649,22.80427706,14.44,0.02,-111.4,3.474046432666667,1991.25,0.7397119415728786,0.2578360081583443
16210,5.58,52.21794573,49.84844583,5.89,22.51,-25.55,3.481196382,1991.25,0.413757977278058,0.34485179074981753
16226,6.41,52.26585232,3.2486866,7.16,-2.39,7.27,3.484390154666667,1991.25,1.0137294985118848,0.11669913047618549
16228,4.21,52.26722684,59.94033461,0.76,-0.82,-1.85,3.484481789333333,1991.25,0.30418776399612,0.3582372475802293
16244,4.67,52.34179296,49.50901919,5.84,22.16,-29.18,3.489452864,1991.25,0.4173882052001797,0.3433476453844947
16245,4.71,52.34244352,-62.93843436,46.65,383.05,373.11,3.489496234666667,1991.25,1.60825965447588,-1.8759671427961273
16252,6.21,52.35943439,46.93793775,5.66,22.36,-28.61,3.4906289593333333,1991.25,0.4461577358727865,0.3381970439314025
16263,5.57,52.40009401,-12.67474889,7.76,7.74,4.95,3.4933396006666664,1991.25,1.262687003692376,-0.08305031561024502
16266,6.01,52.41328224,-6.80423924,8.72,-84.93,-89.94,3.494218816,1991.25,1.1678282094324226,0.0013611373672488287
16281,4.55,52.47810837,58.87875244,1.32,-1.94,-1.14,3.498540558,1991.25,0.3153615715485059,0.3560161348180728
16285,5.76,52.47997851,-42.63425261,16.04,-59.48,-1.45,3.498665234,1991.25,1.703089808517329,-0.8669949307027469
16290,5.68,52.49552432,-78.35178497,10.63,-11.26,-26.72,3.4997016213333336,1991.25,0.877510906362873,-2.6389500681466656
16292,5.09,52.50095974,55.45183695,17.07,-45.38,-11.77,3.5000639826666666,1991.25,0.35209637006442185,0.35172359615225995
16303,6.14,52.54554846,59.36606884,9.67,14.07,-50.27,3.503036564,1991.25,0.31014319608526364,0.3561669698194515
16310,6.12,52.55661496,-41.36951768,29.33,-10.4,-172.75,3.5037743306666664,1991.25,1.6887118739259699,-0.8184133712113999
16319,6.37,52.58078888,71.86389717,3.81,3.85,0.1,3.5053859253333335,1991.25,0.18043965221149091,0.3635693981432222
16322,5.14,52.60198294,11.33648129,7.82,-11.71,-16.08,3.5067988626666664,1991.25,0.8930231601381616,0.1802485674448378
16335,4.36,52.64367585,47.99517199,9.23,1.56,18.13,3.50957839,1991.25,0.4338918417524635,0.33820704686883085
16339,5.98,52.65374344,-47.3751741,8.81,64.6,20.03,3.5102495626666665,1991.25,1.7307203988979083,-1.0673118827951702
16340,5.82,52.65388405,48.10365477,3.75,21.23,-24.0,3.5102589366666668,1991.25,0.43266531527272867,0.3383498885647048
16341,4.74,52.65437447,-5.07516332,8.57,13.31,7.34,3.510291631333333,1991.25,1.1374417897716183,0.01966803056376457
16358,5.93,52.68914607,6.18874381,6.31,42.38,-16.79,3.512609738,1991.25,0.9662914199029572,0.13735637220475744
16368,5.81,52.71534366,-66.4897181,3.83,16.99,1.7,3.514356244,1991.25,1.492284109961327,-2.0707219938082173
16369,4.14,52.71819576,12.93668186,9.05,18.94,-1.55,3.514546384,1991.25,0.8697439298754418,0.1902979655092069
16424,6.29,52.87230329,49.2097738,6.97,-14.85,-1.32,3.5248202193333333,1991.25,0.4200585464991874,0.3389415862085358
16425,6.5,52.87615022,40.76003616,7.48,25.2,-41.93,3.525076681333333,1991.25,0.5159071260676246,0.3189398430312599
16447,6.41,52.95433039,49.40109538,1.52,-1.68,-0.98,3.530288692666667,1991.25,0.41783234619554027,0.33872250424159683
16449,6.38,52.9733836,-25.61411273,13.55,53.46,-14.98,3.5315589066666666,1991.25,1.462071945557579,-0.3437416895880778
16470,5.47,53.03575392,48.02353391,5.57,22.84,-23.78,3.535716928,1991.25,0.43303479939733935,0.33533598167028844
16489,5.62,53.08214603,84.91136314,9.18,62.36,-133.04,3.538809735333333,1991.25,0.05001814978241553,0.36006217361133797
16499,5.3,53.10960058,46.05704336,27.46,-52.77,-74.74,3.5406400386666665,1991.25,0.45495223290622516,0.3304566248038624
16509,5.67,53.14465247,-50.37884857,10.63,94.26,83.16,3.542976831333333,1991.25,1.7235106893848313,-1.2062505157784411
16511,5.76,53.14970799,9.37355768,9.18,32.55,-49.15,3.543313866,1991.25,0.9166365676452793,0.1574619438546781
16516,6.42,53.1624038,44.85577508,2.09,1.12,-6.38,3.544160253333333,1991.25,0.46842241447061445,0.3272046066078238
16518,5.91,53.16675711,35.46172039,1.99,-6.72,3.66,3.544450474,1991.25,0.5775346964351744,0.29972743499259136
16531,6.42,53.2144352,-61.01698766,7.6,77.48,47.37,3.5476290133333332,1991.25,1.6287068200135661,-1.759058519621757
16537,3.72,53.23509009,-9.45830584,310.75,-976.44,17.97,3.549006006,1991.25,1.1987771381343515,-0.04787865468775317
16587,6.45,53.38412463,58.7653511,4.27,13.07,-45.58,3.558941642,1991.25,0.3160205344696871,0.35090134829026254
16591,5.79,53.39592658,39.89959026,18.29,17.06,-45.98,3.5597284386666668,1991.25,0.5247469153531092,0.3118570936629474
16599,5.98,53.41292455,54.97486087,14.71,-41.31,-1.63,3.5608616366666666,1991.25,0.3564830740329458,0.34541833349522266
16602,6.37,53.42180546,57.8686358,13.91,7.0,36.75,3.5614536973333335,1991.25,0.32551482657300024,0.34953592261700717
16611,4.26,53.44686638,-21.63281597,11.02,44.91,-27.47,3.5631244253333336,1991.25,1.3893774578452462,-0.26227134350042847
16628,6.2,53.48672231,-31.08030021,23.54,-35.15,76.4,3.565781487333333,1991.25,1.533541078102112,-0.49094613451877617
16641,6.14,53.53466813,17.83358303,23.57,95.5,-310.56,3.568977875333333,1991.25,0.7978673650362561,0.21213531484340095
16664,5.95,53.61093,24.46447543,6.28,2.7,-33.96,3.574062,1991.25,0.7112895763481907,0.24851087618476714
16672,6.39,53.63990978,-31.87479845,2.36,15.36,-1.1,3.5759939853333336,1991.25,1.5412752103344505,-0.5151555681867689
16677,6.25,53.65607976,-9.86827337,6.29,20.11,4.99,3.577071984,1991.25,1.1992411139131136,-0.060307712904885014
16695,6.49,53.70456368,6.41773268,7.43,-23.43,-17.03,3.580304245333333,1991.25,0.9541032742956362,0.12478099561896215
16697,6.48,53.71821945,-25.58290648,5.44,51.5,33.44,3.58121463,1991.25,1.4457714237772619,-0.3534767526751369
16712,6.43,53.75431434,60.04137677,17.86,-22.58,21.52,3.583620956,1991.25,0.3023097668895266,0.35048699226033253
16779,6.49,53.9885409,-5.12494411,4.18,-5.41,-4.08,3.59923606,1991.25,1.1216133762259974,-0.001475589599752318
16780,5.56,53.9902171,-11.19397792,8.6,23.65,80.6,3.5993478066666666,1991.25,1.215088816060565,-0.0850114440974591
16803,5.24,54.07246744,-17.46704107,6.89,33.35,-9.65,3.6048311626666663,1991.25,1.3120548802296237,-0.19039976660230623
16826,4.32,54.12233383,48.19270068,4.66,21.41,-27.58,3.608155588666667,1991.25,0.42957186779432033,0.32765546747104696
16827,6.29,54.12576577,-78.32308914,4.1,-14.3,6.53,3.6083843846666666,1991.25,0.8678016369630298,-2.6158992538503614
16846,5.82,54.19711994,0.58815498,34.52,-32.98,-163.45,3.613141329333333,1991.25,1.03383865169128,0.06124157908314434
16852,4.29,54.21882896,0.40283316,72.89,-232.69,-482.0,3.6145885973333334,1991.25,1.036334473073983,0.05895780547228515
16870,4.57,54.2736588,-40.27451075,14.88,2.77,-14.23,3.61824392,1991.25,1.6294804354942172,-0.7910683739354535
16924,6.4,54.44924357,15.43062339,13.52,22.43,-29.51,3.6299495713333334,1991.25,0.8241052043222596,0.18481429716352288
16938,6.41,54.50069342,42.58290278,3.93,19.1,-24.59,3.6333795613333333,1991.25,0.4915730932485366,0.3102200210283625
16974,6.29,54.58210319,56.93279793,5.85,26.9,-34.89,3.638806879333333,1991.25,0.33453441999030503,0.34152459030948784
16989,5.86,54.62189268,-7.39170945,8.35,-1.06,-63.16,3.641459512,1991.25,1.1478247575249914,-0.040461272959746365
17007,6.01,54.69857269,-27.94311708,7.81,21.55,25.85,3.6465715126666667,1991.25,1.4600548809433844,-0.42370999535077314
17026,6.5,54.75026216,20.91584806,6.6,-4.67,-34.27,3.6500174773333334,1991.25,0.7507867894531938,0.2157664869256974
17027,5.97,54.75469049,-5.62570656,28.44,-13.53,-207.06,3.6503126993333335,1991.25,1.1195230208223126,-0.01931780388971928
17056,6.25,54.85456402,75.73960152,7.6,-5.71,8.65,3.6569709346666666,1991.25,0.14119300330370382,0.3581535034343576
17057,6.19,54.85592628,-10.43702564,8.68,-26.5,-103.7,3.6570617519999997,1991.25,1.1907759993138056,-0.08682842999516813
17058,6.18,54.8571986,16.53676604,8.09,40.42,-33.28,3.6571465733333333,1991.25,0.8068491158689828,0.18709755154126514
17086,6.22,54.90980877,-3.3928423,9.73,-14.3,-68.94,3.660653918,1991.25,1.0844262175027877,0.00596237554251153
17103,5.55,54.9630986,3.05684307,8.14,-36.61,8.32,3.6642065733333333,1991.25,0.9903293933571938,0.0754309234874259
17120,6.12,54.99812309,-1.12121089,7.74,33.46,-6.42,3.666541539333333,1991.25,1.0501091270359355,0.030938843994484475
17136,6.35,55.04766529,-15.22649985,5.06,-3.76,-14.11,3.6698443526666664,1991.25,1.2608844811828888,-0.16546858827389344
17167,5.53,55.15972132,-5.21069726,4.41,0.14,-3.64,3.677314754666667,1991.25,1.1082276849956567,-0.0200500776588282
17181,6.11,55.19293082,25.32952639,6.24,9.58,-13.95,3.6795287213333334,1991.25,0.6930898971617433,0.23496775485321672
17203,5.55,55.28267183,37.58026421,4.04,22.86,-27.3,3.6855114553333332,1991.25,0.5467314760796094,0.28724333373049193
17214,6.49,55.30729338,-11.80249015,10.88,81.07,29.82,3.687152892,1991.25,1.2048043656202638,-0.11405207410252272
17296,5.06,55.53894572,63.21675891,6.27,-16.97,19.34,3.7025963813333336,1991.25,0.2681620375118112,0.34564878324508086
17298,6.5,55.54131805,-45.95792132,25.39,-72.55,13.51,3.7027545366666668,1991.25,1.63916002621364,-1.0166475188171227
17304,4.99,55.56207975,-31.93839587,4.45,5.16,14.23,3.70413865,1991.25,1.4963132753421189,-0.5394068335004215
17309,5.68,55.57893663,19.70028593,7.97,5.82,-13.24,3.705262442,1991.25,0.761605412153502,0.19855305443010596
17313,4.97,55.59434812,33.96503899,3.53,4.39,-5.21,3.7062898746666666,1991.25,0.5877174685829513,0.2705241145094437
17328,6.4,55.63620779,-85.26202284,6.78,20.99,24.32,3.7090805193333334,1991.25,0.36530926963693633,-2.7784888298589854
17342,5.74,55.6780592,59.96938466,1.48,0.56,2.75,3.7118706133333332,1991.25,0.30172438640812094,0.3403161350761244
17351,4.59,55.70884185,-37.31334485,18.34,-90.81,-71.42,3.71392279,1991.25,1.5593672703043886,-0.7021883774105351
17358,3.01,55.7311754,47.7876533,6.18,23.83,-41.93,3.715411693333333,1991.25,0.43139456498987744,0.31484904839288774
17378,3.52,55.81231706,-9.76519868,110.58,-91.71,742.23,3.720821137333333,1991.25,1.1669582831251848,-0.09115664632306293
17395,5.59,55.89099355,-10.48561144,23.3,-7.97,-20.23,3.7260662366666666,1991.25,1.176509539154389,-0.10282176693808634
17408,6.13,55.9464229,19.66516969,9.39,115.75,-56.56,3.7297615266666666,1991.25,0.7599007006070021,0.1939487361176919
17436,6.45,56.02650052,-40.66008603,10.77,25.07,-83.56,3.7351000346666665,1991.25,1.5857744679016377,-0.8178614088715488
17437,6.06,56.02678089,48.52368506,3.94,0.02,-12.02,3.735118726,1991.25,0.4228762631959671,0.3146082919995948
17440,3.84,56.04814541,-64.80709398,32.71,308.39,78.72,3.736543027333333,1991.25,1.469095390520204,-1.9361525341671155
17448,3.84,56.07969347,32.28827325,2.21,8.11,-10.32,3.7386462313333335,1991.25,0.6056490849146042,0.258713476496933
17453,6.09,56.11744538,20.9287701,13.39,26.61,-13.8,3.7411630253333334,1991.25,0.7430297393870454,0.19969712960007796
17457,5.24,56.12711667,-1.16307844,4.99,3.62,-5.26,3.741807778,1991.25,1.0380327465099681,0.014241030810909982
17460,5.6,56.13082016,36.46020384,9.83,48.24,-41.44,3.7420546773333334,1991.25,0.5570902769805468,0.2753060568819074
17464,6.29,56.14110276,-54.27418613,12.81,25.49,65.5,3.742740184,1991.25,1.6270541182935234,-1.3888519867097875
17475,6.1,56.17046065,46.09987096,5.69,-1.55,-23.73,3.7446973766666667,1991.25,0.4490280122587173,0.3069920563287199
17489,5.45,56.20084227,24.28957712,9.75,20.73,-44.0,3.7467228180000003,1991.25,0.7009892917607042,0.21814925137156446
17493,6.49,56.2102753,-48.06111837,6.42,20.0,-74.2,3.7473516866666667,1991.25,1.6292316751822387,-1.1062168863196629
17499,3.72,56.21884811,24.1134484,8.8,21.55,-44.92,3.7479232073333337,1991.25,0.7030566583714206,0.2169750732047714
17506,5.56,56.23526063,-0.29671559,9.28,60.54,-1.86,3.749017375333333,1991.25,1.0245678610777795,0.022363957944972684
